Exer,CodRD,Nature,Fonction,MtReal,Identifiant agrégé
2019,D,65734,58,107542,DF.3.6
2019,D,65738,58,129600,DF.1.6
2019,D,65738,58,33717,DF.3.6
2019,D,65111,51,11721802,DF.1.1.3
2019,D,65111,51,5356655,DF.1.5
2019,D,62268,51,366241,DF.1.1.3
2019,D,238,621,184548.27,DI.1.2
2019,D,238,621,1085918.72,DI.1.3
2019,D,2031,621,1351011.61,DI.1.2
2019,D,2031,621,659935.57,DI.1.3
2019,D,204152,93,25000,DI.2.4
2019,D,204152,93,4689222,DI.2.6
